,Ramp 1,Block 1,Ramp 2,Block 2,Ramp 3,Block 3,Ramp 4,Block 4,Ramp 5,Block 5,Ramp 6,Block 6,Ramp 7,Block 7,Ramp 8,Block 8,Ramp 9,Block 9,Ramp 10,Block 10,Ramp 11,Block 11,Ramp 12,Block 12,Ramp 13,Block 13,Ramp 14,Block 14
Calibration,,rest,,rest,,eyes closed,,,,,,rest,bad/ramp,bad/c,,calibration,bad/ramp,bad/c,,calibration,bad/ramp,bad/c,,calibration,bad/ramp,bad/c,,calibration
Run 1,bad/ramp,bad/p/A,,posterior/tACS/1,,posterior/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/f/A,,frontal/tACS/1,,frontal/tACS/2,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/A,,frontal/tACS/1
Run 2,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1,,posterior/tACS/2,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/D,,frontal/tDCS/1,,frontal/tDCS/2,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1
Run 3,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/p/A,,posterior/tACS/1,,posterior/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1,,frontal/tDCS/2
Run 4,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/A,,frontal/tACS/1,,frontal/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1,,frontal/tDCS/2,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/p/A,,posterior/tACS/1
Run 5,bad/ramp,bad/f/A,,frontal/tACS/1,,frontal/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1,,frontal/tDCS/2,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1
Run 6,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,,posterior/tDCS/2,bad/ramp,bad/f/A,,frontal/tACS/1,,frontal/tACS/2
Run 7,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,,posterior/tDCS/2,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1,,posterior/tACS/2
Run 8,bad/ramp,bad/p/D,,posterior/tDCS/1,,posterior/tDCS/2,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/f/A,,frontal/tACS/1,,frontal/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1
Run 9,bad/ramp,bad/f/A,,frontal/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,,posterior/tDCS/2,bad/ramp,bad/p/A,,posterior/tACS/1,,posterior/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/f/A,,frontal/tACS/1
Run 10,bad/ramp,bad/p/D,,posterior/tDCS/1,bad/ramp,bad/f/D,,frontal/tDCS/1,bad/ramp,bad/p/A,,posterior/tACS/1,bad/ramp,bad/p/D,,posterior/tDCS/1,,posterior/tDCS/2,bad/ramp,bad/f/A,,frontal/tACS/1,,frontal/tACS/2,bad/ramp,bad/f/D,,frontal/tDCS/1
