Run 0,-,-,-,-,0.55,-,0.426,-,-,-,-,-,-,0.303,-,-,0.373,-,-,-,-,-,-,-,-,0.358,-,-,-,0.399
Run 1,-,-,0.316,-,0.338,-,-,0.273,-,0.316,-,-,-,Wrong,-,-,-,-,0.239,-,-,-,-,-,-,-,-,0.302,-,-
Run 2,-,-,-,-,-,-,-,0.397,-,-,-,-,-,-,0.34,-,-,-,-,-,0.421,-,-,-,0.33,-,-,0.517,-,0.38
Run 3,-,-,-,-,-,0.25,-,-,0.336,-,-,-,-,-,-,-,-,-,-,-,0.262,-,0.425,-,-,-,0.301,-,-,0.358
Run 4,-,-,-,-,-,-,-,-,-,0.276,-,0.46,-,-,-,-,-,-,-,0.484,-,0.315,-,-,-,-,0.424,-,0.338,-
Run 5,-,-,-,0.323,-,-,-,0.316,-,-,-,-,-,-,0.353,-,-,0.487,-,-,0.357,-,-,-,-,-,0.331,-,-,-
Run 6,-,-,-,-,-,-,-,0.292,-,0.456,-,-,0.307,-,-,-,-,-,-,-,0.278,-,-,-,0.229,-,-,0.868,-,-
Run 7,-,-,-,0.267,-,-,-,-,-,-,-,-,0.354,-,-,0.404,-,-,-,0.279,-,-,-,0.301,-,-,-,-,-,0.537
Run 8,-,-,-,-,-,0.263,-,0.408,-,-,-,-,-,-,0.314,-,0.508,-,-,0.436,-,-,0.379,-,-,-,Wrong,-,-,-
Run 9,-,-,-,-,-,-,-,-,0.259,-,0.321,-,-,0.295,-,-,-,-,-,0.28,-,-,-,0.303,-,0.336,-,-,-,-
