Run 0,-,-,-,0.359,-,-,-,0.458,-,-,0.439,-,-,-,0.549,-,-,-,-,-,-,0.515,-,0.342,-,-,-,-,-,-
Run 1,-,-,-,-,0.373,-,-,-,0.418,-,-,-,0.246,-,-,-,-,-,-,0.331,-,-,-,-,-,-,0.406,-,-,0.384
Run 2,-,-,-,0.369,-,0.353,-,-,-,-,-,-,-,0.37,-,0.446,-,-,-,0.384,-,-,-,-,-,-,0.347,-,-,-
Run 3,-,-,-,0.292,-,-,-,-,-,0.328,-,-,-,-,-,-,-,0.223,-,0.378,-,-,0.323,-,-,0.308,-,-,-,-
Run 4,-,-,-,-,-,-,-,-,-,0.325,-,-,-,-,0.345,-,0.347,-,0.367,-,-,0.325,-,-,-,-,-,-,-,0.321
Run 5,-,-,-,-,Wrong,0.874,-,0.542,-,-,-,-,0.45,-,-,-,0.294,-,-,-,-,-,-,-,-,-,-,0.295,-,0.379
Run 6,-,-,-,-,-,0.506,-,0.453,-,-,-,-,0.348,-,-,0.325,-,0.431,-,-,-,-,0.371,-,-,-,-,-,-,-
Run 7,-,-,0.519,-,-,-,0.313,-,-,0.401,-,-,-,-,-,-,-,-,-,-,0.325,-,-,-,0.299,-,0.585,-,-,-
Run 8,-,-,-,0.308,-,-,-,-,-,0.343,-,0.525,-,-,0.794,-,-,-,-,-,0.375,-,-,-,-,-,-,-,0.393,-
Run 9,-,-,0.421,-,-,0.378,-,-,-,-,-,-,-,-,-,0.896,-,-,0.545,-,-,-,-,0.427,-,0.334,-,-,-,-
